ID.Year,Year,ID.Antibiotic.Class,Antibiotic.Class,Prescriptions.per.1000.Population,region
2018,2018,214,Fluoroquinolones,70,United States
2018,2018,214,Fluoroquinolones,111,Alabama
2018,2018,214,Fluoroquinolones,35,Alaska
2018,2018,214,Fluoroquinolones,61,Arizona
2018,2018,214,Fluoroquinolones,97,Arkansas
2018,2018,214,Fluoroquinolones,49,California
2018,2018,214,Fluoroquinolones,37,Colorado
2018,2018,214,Fluoroquinolones,66,Connecticut
2018,2018,214,Fluoroquinolones,73,Delaware
2018,2018,214,Fluoroquinolones,82,District of Columbia
2018,2018,214,Fluoroquinolones,93,Florida
2018,2018,214,Fluoroquinolones,77,Georgia
2018,2018,214,Fluoroquinolones,58,Hawaii
2018,2018,214,Fluoroquinolones,45,Idaho
2018,2018,214,Fluoroquinolones,64,Illinois
2018,2018,214,Fluoroquinolones,72,Indiana
2018,2018,214,Fluoroquinolones,75,Iowa
2018,2018,214,Fluoroquinolones,76,Kansas
2018,2018,214,Fluoroquinolones,103,Kentucky
2018,2018,214,Fluoroquinolones,105,Louisiana
2018,2018,214,Fluoroquinolones,54,Maine
2018,2018,214,Fluoroquinolones,64,Maryland
2018,2018,214,Fluoroquinolones,55,Massachusetts
2018,2018,214,Fluoroquinolones,70,Michigan
2018,2018,214,Fluoroquinolones,45,Minnesota
2018,2018,214,Fluoroquinolones,109,Mississippi
2018,2018,214,Fluoroquinolones,76,Missouri
2018,2018,214,Fluoroquinolones,44,Montana
2018,2018,214,Fluoroquinolones,83,Nebraska
2018,2018,214,Fluoroquinolones,62,Nevada
2018,2018,214,Fluoroquinolones,47,New Hampshire
2018,2018,214,Fluoroquinolones,77,New Jersey
2018,2018,214,Fluoroquinolones,52,New Mexico
2018,2018,214,Fluoroquinolones,83,New York
2018,2018,214,Fluoroquinolones,72,North Carolina
2018,2018,214,Fluoroquinolones,66,North Dakota
2018,2018,214,Fluoroquinolones,77,Ohio
2018,2018,214,Fluoroquinolones,76,Oklahoma
2018,2018,214,Fluoroquinolones,39,Oregon
2018,2018,214,Fluoroquinolones,71,Pennsylvania
2018,2018,214,Fluoroquinolones,73,Rhode Island
2018,2018,214,Fluoroquinolones,88,South Carolina
2018,2018,214,Fluoroquinolones,60,South Dakota
2018,2018,214,Fluoroquinolones,100,Tennessee
2018,2018,214,Fluoroquinolones,75,Texas
2018,2018,214,Fluoroquinolones,46,Utah
2018,2018,214,Fluoroquinolones,45,Vermont
2018,2018,214,Fluoroquinolones,61,Virginia
2018,2018,214,Fluoroquinolones,36,Washington
2018,2018,214,Fluoroquinolones,105,West Virginia
2018,2018,214,Fluoroquinolones,49,Wisconsin
2018,2018,214,Fluoroquinolones,48,Wyoming
2018,2018,213,Cephalosporins,114,United States
2018,2018,213,Cephalosporins,190,Alabama
2018,2018,213,Cephalosporins,62,Alaska
2018,2018,213,Cephalosporins,105,Arizona
2018,2018,213,Cephalosporins,173,Arkansas
2018,2018,213,Cephalosporins,73,California
2018,2018,213,Cephalosporins,77,Colorado
2018,2018,213,Cephalosporins,113,Connecticut
2018,2018,213,Cephalosporins,123,Delaware
2018,2018,213,Cephalosporins,102,District of Columbia
2018,2018,213,Cephalosporins,105,Florida
2018,2018,213,Cephalosporins,117,Georgia
2018,2018,213,Cephalosporins,81,Hawaii
2018,2018,213,Cephalosporins,103,Idaho
2018,2018,213,Cephalosporins,101,Illinois
2018,2018,213,Cephalosporins,162,Indiana
2018,2018,213,Cephalosporins,159,Iowa
2018,2018,213,Cephalosporins,152,Kansas
2018,2018,213,Cephalosporins,199,Kentucky
2018,2018,213,Cephalosporins,154,Louisiana
2018,2018,213,Cephalosporins,84,Maine
2018,2018,213,Cephalosporins,94,Maryland
2018,2018,213,Cephalosporins,89,Massachusetts
2018,2018,213,Cephalosporins,125,Michigan
2018,2018,213,Cephalosporins,97,Minnesota
2018,2018,213,Cephalosporins,179,Mississippi
2018,2018,213,Cephalosporins,127,Missouri
2018,2018,213,Cephalosporins,85,Montana
2018,2018,213,Cephalosporins,165,Nebraska
2018,2018,213,Cephalosporins,88,Nevada
2018,2018,213,Cephalosporins,94,New Hampshire
2018,2018,213,Cephalosporins,110,New Jersey
2018,2018,213,Cephalosporins,97,New Mexico
2018,2018,213,Cephalosporins,115,New York
2018,2018,213,Cephalosporins,118,North Carolina
2018,2018,213,Cephalosporins,117,North Dakota
2018,2018,213,Cephalosporins,128,Ohio
2018,2018,213,Cephalosporins,146,Oklahoma
2018,2018,213,Cephalosporins,73,Oregon
2018,2018,213,Cephalosporins,116,Pennsylvania
2018,2018,213,Cephalosporins,108,Rhode Island
2018,2018,213,Cephalosporins,128,South Carolina
2018,2018,213,Cephalosporins,149,South Dakota
2018,2018,213,Cephalosporins,170,Tennessee
2018,2018,213,Cephalosporins,123,Texas
2018,2018,213,Cephalosporins,114,Utah
2018,2018,213,Cephalosporins,83,Vermont
2018,2018,213,Cephalosporins,117,Virginia
2018,2018,213,Cephalosporins,79,Washington
2018,2018,213,Cephalosporins,211,West Virginia
2018,2018,213,Cephalosporins,90,Wisconsin
2018,2018,213,Cephalosporins,124,Wyoming
2018,2018,215,Macrolides,128,United States
2018,2018,215,Macrolides,197,Alabama
2018,2018,215,Macrolides,80,Alaska
2018,2018,215,Macrolides,112,Arizona
2018,2018,215,Macrolides,165,Arkansas
2018,2018,215,Macrolides,93,California
2018,2018,215,Macrolides,78,Colorado
2018,2018,215,Macrolides,139,Connecticut
2018,2018,215,Macrolides,132,Delaware
2018,2018,215,Macrolides,134,District of Columbia
2018,2018,215,Macrolides,138,Florida
2018,2018,215,Macrolides,137,Georgia
2018,2018,215,Macrolides,116,Hawaii
2018,2018,215,Macrolides,99,Idaho
2018,2018,215,Macrolides,130,Illinois
2018,2018,215,Macrolides,127,Indiana
2018,2018,215,Macrolides,145,Iowa
2018,2018,215,Macrolides,131,Kansas
2018,2018,215,Macrolides,181,Kentucky
2018,2018,215,Macrolides,202,Louisiana
2018,2018,215,Macrolides,110,Maine
2018,2018,215,Macrolides,120,Maryland
2018,2018,215,Macrolides,112,Massachusetts
2018,2018,215,Macrolides,138,Michigan
2018,2018,215,Macrolides,91,Minnesota
2018,2018,215,Macrolides,214,Mississippi
2018,2018,215,Macrolides,121,Missouri
2018,2018,215,Macrolides,93,Montana
2018,2018,215,Macrolides,134,Nebraska
2018,2018,215,Macrolides,116,Nevada
2018,2018,215,Macrolides,96,New Hampshire
2018,2018,215,Macrolides,170,New Jersey
2018,2018,215,Macrolides,112,New Mexico
2018,2018,215,Macrolides,157,New York
2018,2018,215,Macrolides,112,North Carolina
2018,2018,215,Macrolides,103,North Dakota
2018,2018,215,Macrolides,136,Ohio
2018,2018,215,Macrolides,146,Oklahoma
2018,2018,215,Macrolides,67,Oregon
2018,2018,215,Macrolides,131,Pennsylvania
2018,2018,215,Macrolides,151,Rhode Island
2018,2018,215,Macrolides,142,South Carolina
2018,2018,215,Macrolides,127,South Dakota
2018,2018,215,Macrolides,165,Tennessee
2018,2018,215,Macrolides,141,Texas
2018,2018,215,Macrolides,93,Utah
2018,2018,215,Macrolides,90,Vermont
2018,2018,215,Macrolides,113,Virginia
2018,2018,215,Macrolides,77,Washington
2018,2018,215,Macrolides,165,West Virginia
2018,2018,215,Macrolides,91,Wisconsin
2018,2018,215,Macrolides,134,Wyoming
2018,2018,208,Penicillins,185,United States
2018,2018,208,Penicillins,235,Alabama
2018,2018,208,Penicillins,101,Alaska
2018,2018,208,Penicillins,152,Arizona
2018,2018,208,Penicillins,230,Arkansas
2018,2018,208,Penicillins,134,California
2018,2018,208,Penicillins,134,Colorado
2018,2018,208,Penicillins,192,Connecticut
2018,2018,208,Penicillins,204,Delaware
2018,2018,208,Penicillins,203,District of Columbia
2018,2018,208,Penicillins,190,Florida
2018,2018,208,Penicillins,213,Georgia
2018,2018,208,Penicillins,128,Hawaii
2018,2018,208,Penicillins,146,Idaho
2018,2018,208,Penicillins,198,Illinois
2018,2018,208,Penicillins,197,Indiana
2018,2018,208,Penicillins,199,Iowa
2018,2018,208,Penicillins,194,Kansas
2018,2018,208,Penicillins,266,Kentucky
2018,2018,208,Penicillins,251,Louisiana
2018,2018,208,Penicillins,146,Maine
2018,2018,208,Penicillins,183,Maryland
2018,2018,208,Penicillins,180,Massachusetts
2018,2018,208,Penicillins,207,Michigan
2018,2018,208,Penicillins,159,Minnesota
2018,2018,208,Penicillins,232,Mississippi
2018,2018,208,Penicillins,191,Missouri
2018,2018,208,Penicillins,126,Montana
2018,2018,208,Penicillins,226,Nebraska
2018,2018,208,Penicillins,162,Nevada
2018,2018,208,Penicillins,161,New Hampshire
2018,2018,208,Penicillins,208,New Jersey
2018,2018,208,Penicillins,166,New Mexico
2018,2018,208,Penicillins,213,New York
2018,2018,208,Penicillins,180,North Carolina
2018,2018,208,Penicillins,150,North Dakota
2018,2018,208,Penicillins,208,Ohio
2018,2018,208,Penicillins,201,Oklahoma
2018,2018,208,Penicillins,110,Oregon
2018,2018,208,Penicillins,207,Pennsylvania
2018,2018,208,Penicillins,196,Rhode Island
2018,2018,208,Penicillins,203,South Carolina
2018,2018,208,Penicillins,200,South Dakota
2018,2018,208,Penicillins,228,Tennessee
2018,2018,208,Penicillins,197,Texas
2018,2018,208,Penicillins,184,Utah
2018,2018,208,Penicillins,146,Vermont
2018,2018,208,Penicillins,175,Virginia
2018,2018,208,Penicillins,116,Washington
2018,2018,208,Penicillins,240,West Virginia
2018,2018,208,Penicillins,155,Wisconsin
2018,2018,208,Penicillins,180,Wyoming
