ID_Year,Year,ID_Antibiotic_Class,Antibiotic_Class,Prescriptions_per_1000_Population,region
2018,2018,214,Fluoroquinolones,70,United States
2018,2018,214,Fluoroquinolones,111,Alabama
2018,2018,214,Fluoroquinolones,35,Alaska
2018,2018,214,Fluoroquinolones,61,Arizona
2018,2018,214,Fluoroquinolones,97,Arkansas
2018,2018,214,Fluoroquinolones,49,California
2018,2018,214,Fluoroquinolones,37,Colorado
2018,2018,214,Fluoroquinolones,66,Connecticut
2018,2018,214,Fluoroquinolones,73,Delaware
2018,2018,214,Fluoroquinolones,82,District of Columbia
2018,2018,214,Fluoroquinolones,93,Florida
2018,2018,214,Fluoroquinolones,77,Georgia
2018,2018,214,Fluoroquinolones,58,Hawaii
2018,2018,214,Fluoroquinolones,45,Idaho
2018,2018,214,Fluoroquinolones,64,Illinois
2018,2018,214,Fluoroquinolones,72,Indiana
2018,2018,214,Fluoroquinolones,75,Iowa
2018,2018,214,Fluoroquinolones,76,Kansas
2018,2018,214,Fluoroquinolones,103,Kentucky
2018,2018,214,Fluoroquinolones,105,Louisiana
2018,2018,214,Fluoroquinolones,54,Maine
2018,2018,214,Fluoroquinolones,64,Maryland
2018,2018,214,Fluoroquinolones,55,Massachusetts
2018,2018,214,Fluoroquinolones,70,Michigan
2018,2018,214,Fluoroquinolones,45,Minnesota
2018,2018,214,Fluoroquinolones,109,Mississippi
2018,2018,214,Fluoroquinolones,76,Missouri
2018,2018,214,Fluoroquinolones,44,Montana
2018,2018,214,Fluoroquinolones,83,Nebraska
2018,2018,214,Fluoroquinolones,62,Nevada
2018,2018,214,Fluoroquinolones,47,New Hampshire
2018,2018,214,Fluoroquinolones,77,New Jersey
2018,2018,214,Fluoroquinolones,52,New Mexico
2018,2018,214,Fluoroquinolones,83,New York
2018,2018,214,Fluoroquinolones,72,North Carolina
2018,2018,214,Fluoroquinolones,66,North Dakota
2018,2018,214,Fluoroquinolones,77,Ohio
2018,2018,214,Fluoroquinolones,76,Oklahoma
2018,2018,214,Fluoroquinolones,39,Oregon
2018,2018,214,Fluoroquinolones,71,Pennsylvania
2018,2018,214,Fluoroquinolones,73,Rhode Island
2018,2018,214,Fluoroquinolones,88,South Carolina
2018,2018,214,Fluoroquinolones,60,South Dakota
2018,2018,214,Fluoroquinolones,100,Tennessee
2018,2018,214,Fluoroquinolones,75,Texas
2018,2018,214,Fluoroquinolones,46,Utah
2018,2018,214,Fluoroquinolones,45,Vermont
2018,2018,214,Fluoroquinolones,61,Virginia
2018,2018,214,Fluoroquinolones,36,Washington
2018,2018,214,Fluoroquinolones,105,West Virginia
2018,2018,214,Fluoroquinolones,49,Wisconsin
2018,2018,214,Fluoroquinolones,48,Wyoming
