year,region,label,pathogen,specimen,antibiotic_label,antibiotic,TOT,AST,SUS,INT,RES,UNK,P_SUS,CI_SUS_lower,CI_SUS_upper,P_INT,CI_INT_lower,CI_INT_upper,P_RES,CI_RES_lower,CI_RES_upper,P_UNK,BatchID,AntibioticClass
2018,Afghanistan,AFG,E. coli,URINE,CAZ,Ceftazidime,68,34,19,0,15,34,55.88,39.45,71.12,0,0,10.15,44.12,28.88,60.55,50,GLASS,Cephalosporins
2018,Afghanistan,AFG,E. coli,URINE,CIP,Ciprofloxacin,68,61,17,0,44,7,27.87,18.19,40.17,0,0,5.92,72.13,59.83,81.81,10.29,GLASS,Fluoroquinolones
2018,Afghanistan,AFG,E. coli,URINE,CRO,Ceftriaxone,68,63,12,0,51,5,19.05,11.25,30.41,0,0,5.75,80.95,69.59,88.75,7.35,GLASS,Cephalosporins
2018,Afghanistan,AFG,E. coli,URINE,CTX,Cefotaxime,68,34,7,0,27,34,20.59,10.35,36.8,0,0,10.15,79.41,63.2,89.65,50,GLASS,Cephalosporins
2018,Afghanistan,AFG,E. coli,URINE,IPM,Imipenem,68,10,10,0,0,58,100,72.25,100,0,0,27.75,0,0,27.75,85.29,GLASS,Carbapenems
2018,Afghanistan,AFG,E. coli,URINE,LVX,Levofloxacin,68,52,15,1,36,16,28.85,18.33,42.27,1.92,0.1,10.12,69.23,55.73,80.09,23.53,GLASS,Fluoroquinolones
2018,Afghanistan,AFG,Salmonella spp.,STOOL,CIP,Ciprofloxacin,14,14,12,0,2,0,85.71,60.06,95.99,0,0,21.53,14.29,4.01,39.94,0,GLASS,Fluoroquinolones
2018,Afghanistan,AFG,Salmonella spp.,STOOL,CRO,Ceftriaxone,14,13,9,0,4,1,69.23,42.37,87.32,0,0,22.81,30.77,12.68,57.63,7.14,GLASS,Cephalosporins
2018,Afghanistan,AFG,Salmonella spp.,STOOL,CTX,Cefotaxime,14,11,8,0,3,3,72.73,43.44,90.25,0,0,25.88,27.27,9.75,56.56,21.43,GLASS,Cephalosporins
2018,Afghanistan,AFG,Salmonella spp.,STOOL,LVX,Levofloxacin,14,10,9,0,1,4,90,59.58,99.49,0,0,27.75,10,0.51,40.42,28.57,GLASS,Fluoroquinolones
